T1	LAW 2 34	COMUNICAT din 25 februarie 2019
T2	TIME 16 33	25 februarie 2019
T3	LAW 78 96	Legea nr. 1 / 2000
T4	TIME 92 96	2000
T5	ORG 122 126	CEDO
T6	LAW 140 157	HG nr. 131 / 1991
T7	TIME 153 157	1991
T8	LAW 180 192	Codul Silvic
T9	LAW 194 213	Legea nr. 26 / 1996
T10	TIME 209 213	1996
T11	LAW 240 258	Legea nr. 1 / 2000
T12	TIME 344 348	2017
T13	TIME 391 395	2019
T14	TIME 427 437	25.02.2019
T15	LAW 528 546	Legea nr. 1 / 2000
T16	TIME 542 546	2000
T17	LAW 661 679	Legea nr. 1 / 2000
T18	TIME 675 679	2000
T19	ORG 785 789	CEDO
T20	ORG 850 876	Comisiilor de Fond Funciar
T21	LAW 1164 1181	HG nr. 131 / 1991
T22	TIME 1177 1181	1991
T23	TIME 934 940	13 ani
T24	ORG 1257 1282	Comisiile de Fond Funciar
T25	LAW 1425 1437	Codul Silvic
T26	LAW 1439 1458	Legea nr. 26 / 1996
T27	TIME 1454 1458	1996
T28	TIME 1527 1533	13 ani
T29	LAW 1735 1753	Legea nr. 1 / 2000
T30	TIME 1749 1753	2000
T31	TIME 2169 2187	16 septembrie 2019
T32	LAW 2256 2274	Legea nr. 1 / 2000
T33	TIME 2270 2274	2000
T34	LAW 2404 2440	Legii fondului funciar nr. 18 / 1991
T35	TIME 2436 2440	1991
T36	LAW 2448 2468	Legii nr. 169 / 1997
T37	TIME 2464 2468	1997
T38	LAW 2583 2601	Legea nr. 1 / 2000
T39	TIME 2597 2601	2000
T40	TIME 2942 2948	13 ani
T41	LAW 3454 3489	Hotărârea Guvernului nr. 131 / 1991
T42	ORG 3464 3474	Guvernului
T43	TIME 3485 3489	1991
T44	LAW 3733 3752	Legea nr. 26 / 1996
T45	TIME 3748 3752	1996
T46	LAW 3755 3767	Codul silvic
T47	TIME 3879 3885	13 ani
T48	LAW 4087 4105	Legea nr. 1 / 2000
T49	TIME 4101 4105	2000
T50	LAW 4558 4576	Legea nr. 1 / 2000
T51	TIME 4572 4576	2000
T52	LAW 4825 4843	Legea nr. 1 / 2000
T53	LAW 5223 5248	Codul de procedură civilă
